year,name,price,profile_id,positsion
2015,Martellus Bennett,3,1062,TE
2015,Jason Witten,3,2505629,TE
2015,Delanie Walker,1,2495966,TE
2015,Dwayne Allen,1,2533046,TE
2015,Antonio Brown,42,2508061,WR
2015,Dez Bryant,38,497278,WR
2015,Demaryius Thomas,37,497328,WR
2015,Julio Jones,37,2495454,WR
2015,Odell Beckham,35,2543496,WR
2015,Randall Cobb,34,2495448,WR
2015,Jordy Nelson,33,1032,WR
2015,A.J. Green,31,2495450,WR
2015,T.Y. Hilton,25,2532865,WR
2015,Deandre Hopkins,17,2540165,WR
2015,Emmanuel Sanders,16,497322,WR
2015,Golden Tate,16,497326,WR
2015,Davante Adams,12,2543495,WR
2015,Brandin Cooks,12,2543498,WR
2015,Jordan Matthews,12,2543500,WR
2015,Mike Evans,11,2543468,WR
2015,Julian Edelman,10,238498,WR
2015,Mike Wallace,10,2507763,WR
2015,Amari Cooper,10,2552487,WR
2015,Keenan Allen,8,2540154,WR
2015,Jarvis Landry,8,2543488,WR
2015,Brandon Marshall,7,2495893,WR
2015,DeSean Jackson,6,1581,WR
2015,Vincent Jackson,5,2506400,WR
2015,Sammy Watkins,5,2543457,WR
2015,Jeremy Maclin,4,80429,WR
2015,Nelson Agholor,4,2552600,WR
2015,Terrance Williams,2,2539205,WR
2015,Martavis Bryant,2,2543572,WR
2015,Eddie Royal,1,1990,WR
2015,Brandon Lafell,1,497302,WR
2015,Torrey Smith,1,2495459,WR
2015,Larry Fitzgerald,1,2506106,WR
2015,Allen Robinson,1,2543509,WR
2016,Aaron Rodgers,72,2506363,QB
2016,Cam Newton,70,2495455,QB
2016,Andrew Luck,63,2533031,QB
2016,Russell Wilson,60,2532975,QB
2016,Drew Brees,52,2504775,QB
2016,Ben Roethlisberger,44,2506109,QB
2016,Philip Rivers,42,2506121,QB
2016,Tom Brady,41,2504211,QB
2016,Carson Palmer,40,2505245,QB
2016,Blake Bortles,37,2543477,QB
2016,Eli Manning,36,2505996,QB
2016,Marcus Mariota,34,2552466,QB
2016,Derek Carr,33,2543499,QB
2016,Jameis Winston,33,2552033,QB
2016,Andy Dalton,32,2495143,QB
2016,Matthew Stafford,30,79860,QB
2016,Tyrod Taylor,30,2495240,QB
2016,Ryan Tannehill,25,2532956,QB
2016,Kirk Cousins,20,2532820,QB
2016,Matt Ryan,16,310,QB
2016,Joe Flacco,14,382,QB
2016,Ryan Fitzpatrick,14,2506581,QB
2016,Brock Osweiler,11,2533436,QB
2016,Jay Cutler,9,2495824,QB
2016,Alex Smith,7,2506340,QB
2016,Robert Griffin III,6,2533033,QB
2016,Carson Wentz,5,2555259,QB
2016,Dak Prescott,5,2555260,QB
2016,Tony Romo,4,2505354,QB
2016,Teddy Bridgewater,3,2543465,QB
2016,Colin Kaepernick,1,2495186,QB
2016,Jimmy Garoppolo,1,2543801,QB
2016,Todd Gurley,58,2552475,RB
2016,Adrian Peterson,56,2507164,RB
2016,Le'Veon Bell,47,2540175,RB
2016,Devonta Freeman,47,2543583,RB
2016,David Johnson,46,2553435,RB
2016,Lamar Miller,45,2533034,RB
2016,Ezekiel Elliott,44,2555224,RB
2016,Eddie Lacy,38,2540168,RB
2016,Jamaal Charles,32,925,RB
2016,Mark Ingram,31,2495466,RB
2016,Doug Martin,30,2532899,RB
2016,LeSean McCoy,29,79607,RB
2016,C.J. Anderson,28,2540269,RB
2016,Thomas Rawls,24,2553733,RB
2016,Latavius Murray,23,2541161,RB
2016,Jonathan Stewart,21,949,RB
2016,Jeremy Hill,20,2543603,RB
2016,Carlos Hyde,20,2543743,RB
2016,Matt Forte,18,234,RB
2016,DeMarco Murray,16,2495207,RB
2016,Ryan Mathews,10,497188,RB
2016,Jeremy Langford,8,2552379,RB
2016,Melvin Gordon,8,2552469,RB
2016,DeAngelo Williams,6,2495979,RB
2016,Christine Michael,6,2539322,RB
2016,Rashad Jennings,5,71345,RB
2016,Ameer Abdullah,5,2552374,RB
2016,Duke Johnson,5,2552461,RB
2016,Matt Jones,5,2552635,RB
2016,LeGarrette Blount,4,497149,RB
2016,Frank Gore,4,2506404,RB
2016,Chris Ivory,4,2507999,RB
2016,Giovani Bernard,4,2540156,RB
2016,T.J. Yeldon,4,2552471,RB
2016,Derrick Henry,4,2556075,RB
2016,Spencer Ware,3,2540204,RB
2016,Danny Woodhead,2,4327,RB
2016,Jay Ajayi,1,2552582,RB
2016,Rob Gronkowski,39,497240,TE
2016,Jordan Reed,17,2540160,TE
2016,Greg Olsen,11,2495700,TE
2016,Delanie Walker,10,2495966,TE
2016,Travis Kelce,9,2540258,TE
2016,Coby Fleener,4,2532838,TE
2016,Antonio Gates,3,2505299,TE
2016,Julius Thomas,2,2495353,TE
2016,Tyler Eifert,2,2540148,TE
2016,Zach Ertz,2,2540158,TE
2016,Antonio Brown,53,2508061,WR
2016,Odell Beckham,46,2543496,WR
2016,Julio Jones,44,2495454,WR
2016,DeAndre Hopkins,40,2540165,WR
2016,Allen Robinson,37,2543509,WR
2016,A.J. Green,35,2495450,WR
2016,Brandon Marshall,32,2495893,WR
2016,Dez Bryant,27,497278,WR
2016,Mike Evans,25,2543468,WR
2016,Jordy Nelson,24,1032,WR
2016,Brandin Cooks,23,2543498,WR
2016,Amari Cooper,23,2552487,WR
2016,Keenan Allen,18,2540154,WR
2016,T.Y. Hilton,17,2532865,WR
2016,Sammy Watkins,17,2543457,WR
2016,Randall Cobb,16,2495448,WR
2016,Alshon Jeffery,16,2533039,WR
2016,Demaryius Thomas,14,497328,WR
2016,Doug Baldwin,12,2530747,WR
2016,Jarvis Landry,10,2543488,WR
2016,Julian Edelman,8,238498,WR
2016,Kelvin Benjamin,8,2543471,WR
2016,Josh Gordon,7,2537931,WR
2016,Donte Moncrief,7,2543614,WR
2016,Emmanuel Sanders,6,497322,WR
2016,Jeremy Maclin,5,80429,WR
2016,Golden Tate,5,497326,WR
2016,Michael Floyd,4,2532841,WR
2016,Eric Decker,3,497284,WR
2016,Larry Fitzgerald,3,2506106,WR
2016,DeSean Jackson,2,1581,WR
2016,Michael Crabtree,2,71269,WR
2016,Marvin Jones,2,2532884,WR
2016,Jordan Matthews,2,2543500,WR
2016,Tyler Lockett,2,2552430,WR
2016,Stefon Diggs,2,2552608,WR
2016,Sterling Shepard,2,2555295,WR
2016,John Brown,1,2543847,WR
2017,Aaron Rodgers,71,2506363,QB
2017,Tom Brady,64,2504211,QB
2017,Drew Brees,58,2504775,QB
2017,Matt Ryan,55,310,QB
2017,Marcus Mariota,52,2552466,QB
2017,Derek Carr,50,2543499,QB
2017,Russell Wilson,47,2532975,QB
2017,Kirk Cousins,45,2532820,QB
2017,Jameis Winston,45,2552033,QB
2017,Cam Newton,43,2495455,QB
2017,Ben Roethlisberger,42,2506109,QB
2017,Matthew Stafford,40,79860,QB
2017,Andrew Luck,39,2533031,QB
2017,Dak Prescott,39,2555260,QB
2017,Philip Rivers,37,2506121,QB
2017,Carson Wentz,35,2555259,QB
2017,Andy Dalton,34,2495143,QB
2017,Eli Manning,31,2505996,QB
2017,Tyrod Taylor,24,2495240,QB
2017,Carson Palmer,23,2505245,QB
2017,Deshone Kizer,11,2557983,QB
2017,Joe Flacco,10,382,QB
2017,Alex Smith,10,2506340,QB
2017,Jared Goff,10,2555334,QB
2017,Jay Cutler,8,2495824,QB
2017,Sam Bradford,7,497095,QB
2017,Blake Bortles,5,2543477,QB
2017,Tom Savage,5,2543640,QB
2017,Trevor Siemian,5,2553457,QB
2017,Mike Glennon,4,2539275,QB
2017,Brian Hoyer,3,81294,QB
2017,Patrick Mahomes,2,2558125,QB
2017,Mitchell Trubisky,1,2558008,QB
2017,Deshaun Watson,1,2558063,QB
2017,Le'Veon Bell,65,2540175,RB
2017,David Johnson,61,2553435,RB
2017,LeSean McCoy,44,79607,RB
2017,Melvin Gordon,42,2552469,RB
2017,Jay Ajayi,36,2552582,RB
2017,Devonta Freeman,35,2543583,RB
2017,Demarco Murray,34,2495207,RB
2017,Jordan Howard,34,2555418,RB
2017,Todd Gurley,33,2552475,RB
2017,Ezekiel Elliott,30,2555224,RB
2017,Kareem Hunt,26,2557917,RB
2017,Leonard Fournette,26,2557973,RB
2017,Marshawn Lynch,22,2495663,RB
2017,Lamar Miller,22,2533034,RB
2017,Carlos Hyde,22,2543743,RB
2017,Isaiah Crowell,19,2550189,RB
2017,Dalvin Cook,19,2557991,RB
2017,Christian McCaffrey,16,2557997,RB
2017,C.J. Anderson,14,2540269,RB
2017,Adrian Peterson,13,2507164,RB
2017,Mark Ingram,12,2495466,RB
2017,Ty Montgomery,12,2552429,RB
2017,Joe Mixon,12,2557976,RB
2017,Doug Martin,11,2532899,RB
2017,Ameer Abdullah,10,2552374,RB
2017,Terrance West,9,2543664,RB
2017,Paul Perkins,9,2555460,RB
2017,Rob Kelley,9,2556414,RB
2017,LeGarrette Blount,7,497149,RB
2017,Mike Gillislee,7,2539663,RB
2017,Eddie Lacy,7,2540168,RB
2017,Jacquizz Rodgers,6,2495471,RB
2017,Derrick Henry,6,2556075,RB
2017,Bilal Powell,5,2495328,RB
2017,Frank Gore,5,2506404,RB
2017,Tevin Coleman,5,2552453,RB
2017,Darren McFadden,4,284,RB
2017,Jeremy Hill,4,2543603,RB
2017,Thomas Rawls,4,2553733,RB
2017,Danny Woodhead,3,4327,RB
2017,Matt Breida,3,2558918,RB
2017,Matt Forte,2,234,RB
2017,Jamaal Charles,1,925,RB
2017,Jonathan Stewart,1,949,RB
2017,Dion Lewis,1,2495469,RB
2017,James White,1,2543773,RB
2017,Duke Johnson,1,2552461,RB
2017,T.J. Yeldon,1,2552471,RB
2017,C.J. Prosise,1,2555417,RB
2017,Wendell Smallwood,1,2555461,RB
2017,Jamaal Williams,1,2558204,RB
2017,Rob Gronkowski,32,497240,TE
2017,Jimmy Graham,15,497236,TE
2017,Jordan Reed,15,2540160,TE
2017,Travis Kelce,11,2540258,TE
2017,Greg Olsen,7,2495700,TE
2017,Zach Ertz,5,2540158,TE
2017,Kyle Rudolph,2,2495438,TE
2017,Delanie Walker,2,2495966,TE
2017,Tyler Eifert,2,2540148,TE
2017,Martellus Bennett,1,1062,TE
2017,Cameron Brate,1,2550656,TE
2017,Hunter Henry,1,2555341,TE
2017,Antonio Brown,45,2508061,WR
2017,Julio Jones,40,2495454,WR
2017,Odell Beckham,37,2543496,WR
2017,Mike Evans,36,2543468,WR
2017,Jordy Nelson,35,1032,WR
2017,A.J. Green,32,2495450,WR
2017,Brandin Cooks,27,2543498,WR
2017,Michael Thomas,26,2556370,WR
2017,Dez Bryant,22,497278,WR
2017,Amari Cooper,20,2552487,WR
2017,DeAndre Hopkins,18,2540165,WR
2017,Terrelle Pryor,15,2531332,WR
2017,Keenan Allen,14,2540154,WR
2017,Doug Baldwin,13,2530747,WR
2017,Alshon Jeffery,12,2533039,WR
2017,Kelvin Benjamin,12,2543471,WR
2017,Davante Adams,12,2543495,WR
2017,Jamison Crowder,12,2552415,WR
2017,Martavis Bryant,11,2543572,WR
2017,Demaryius Thomas,10,497328,WR
2017,T.Y. Hilton,10,2532865,WR
2017,Michael Crabtree,7,71269,WR
2017,Golden Tate,6,497326,WR
2017,Allen Robinson,6,2543509,WR
2017,Tyreek Hill,6,2556214,WR
2017,Larry Fitzgerald,5,2506106,WR
2017,Sammy Watkins,5,2543457,WR
2017,Devante Parker,5,2552409,WR
2017,Desean Jackson,4,1581,WR
2017,Emmanuel Sanders,4,497322,WR
2017,Jarvis Landry,4,2543488,WR
2017,Stefon Diggs,3,2552608,WR
2017,Eric Decker,2,497284,WR
2017,Ted Ginn,2,2507166,WR
2017,Pierre Garcon,1,2346,WR
2017,Jeremy Maclin,1,80429,WR
2017,Randall Cobb,1,2495448,WR
2017,Chris Hogan,1,2530515,WR
2017,Adam Thielen,1,2541785,WR
2017,Jordan Matthews,1,2543500,WR
2017,Kevin White,1,2553432,WR
2017,Tyrell Williams,1,2553913,WR
2018,Aaron Rodgers,67,2506363,QB
2018,Russell Wilson,56,2532975,QB
2018,Tom Brady,56,2504211,QB
2018,Drew Brees,53,2504775,QB
2018,Cam Newton,52,2495455,QB
2018,Deshaun Watson,50,2558063,QB
2018,Kirk Cousins,45,2532820,QB
2018,Andrew Luck,43,2533031,QB
2018,Matt Ryan,38,310,QB
2018,Matthew Stafford,36,79860,QB
2018,Jimmy Garoppolo,36,2543801,QB
2018,Patrick Mahomes,36,2558125,QB
2018,Jared Goff,36,2555334,QB
2018,Ben Roethlisberger,35,2506109,QB
2018,Carson Wentz,33,2555259,QB
2018,Philip Rivers,32,2506121,QB
2018,Marcus Mariota,31,2552466,QB
2018,Alex Smith,26,2506340,QB
2018,Dak Prescott,25,2555260,QB
2018,Jameis Winston,24,2552033,QB
2018,Andy Dalton,15,2495143,QB
2018,Eli Manning,12,2505996,QB
2018,Blake Bortles,11,2543477,QB
2018,Derek Carr,10,2543499,QB
2018,Sam Darnold,10,2560057,QB
2018,Ryan Tannehill,8,2532956,QB
2018,Nick Foles,6,2532842,QB
2018,Mitchell Trubisky,6,2558008,QB
2018,Tyrod Taylor,5,2495240,QB
2018,Case Keenum,4,2532888,QB
2018,Ryan Fitzpatrick,3,2506581,QB
2018,Joe Flacco,3,382,QB
2018,Baker Mayfield,3,2560633,QB
2018,Josh McCown,1,2505076,QB
2018,Sam Bradford,1,497095,QB
2018,Todd Gurley,61,2552475,RB
2018,David Johnson,52,2552461,RB
2018,Le'Veon Bell,51,2540175,RB
2018,Alvin Kamara,48,2558019,RB
2018,Melvin Gordon,48,2552469,RB
2018,Ezekiel Elliott,46,2555224,RB
2018,Saquon Barkley,42,2559001,RB
2018,Christian McCaffrey,42,2557997,RB
2018,Leonard Fournette,40,2557973,RB
